ITEM,EN RegEx,GE Dieter,,GE RegEx,alt1,alt2,alt3,alt4,alt5,CorrectSwedishTranslation1,CorrectSwedishTranslation2,CorrectSwedishTranslation3,CorrectSwedishTranslation4,CorrectSwedishTranslation5,CorrectSwedishTranslation6,CorrectSwedishTranslation7,CorrectSwedishTranslation8,CorrectSwedishTranslation9,CorrectSwedishTranslation10,CorrectSwedishTranslation11,CorrectSwedishTranslation12,CommentAboutSwedishTranslation,Swedish regexp corrected,FR Louise,alt1,alt2,alt3,alt4,alt5,CATEGORY,CLOSURE,EN (SV) ACTION,GE ACTION,Source-peFinder,Source-Original ConText,Source-criticlEventFinder-in addition to peFinder,Source-BioscopeAll,Source-BioscopeFiltered,Source-Development-Round1,Zogg's items,Source-Swedish-physician,Source-Swedish Guidelines,Ignore-ID from toCorrectReplacedRegEx_Final_toWendy.xlsx
not know of,,nicht bekannt,,"(kein.{0,2}\s(Kentnis(se)?|Wissen)\s(über|von|zu|zum)",keine Kenntnis über,kein Wissen über,,,,inte känner till,utan kännedom,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,6
not known to have,,"nicht bekannt, dass sie dies hat",,"(nicht\sbekannt|wissen nicht|keine\s(Kenntnis(se)?|Wissen)\sdarüber)(,)?(\s)?(\b(ein.{0,2}\s.*?|d.{0,2}\s.*?)\b)?(\s.*?)?zu\shaben ::: (nicht|keine\s(Kenntnis(se)?|Wissen)\sdarüber)(,)?(\s)?(sie|er|es|der\sPatient|die\sPatienten(in|innen)?)\s.*?\b(hat|haben)\b",,,,,,inte kända för att ha,inte känd att ha,inte känd för att ha,,,,,,,,,,wrong inflektion,,,,,,,,probableNegatedExistence,,forward,discontinuous,1,1,,,,,,,,68
not reveal,,zeigt keinen,,"(zeig.{0,2})\skeine|komm.{0.2}\snicht\szum\sVorschein)",kommt nicht zum Vorschein,,,,,inte avslöja,inte påvisa,inte att avslöja,avslöjar inte,avslöjade inte,påvisade inte,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,12
not ruled out,,nicht ausgeschlossen werden,,,,,,,,,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,backward,backward,,,,1,1,,,,,
not see,,sehen nicht,,"(sieht|sehen|erkenn.{0,2}|find.{0,2})\s(nicht|kein.{0,2})",erkennen nicht,finden nicht,,,,inte se,,,,,,,,,,,,wrong word,,ne voit pas,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,44
not think,,denkt nicht,,"(denk.{0,2}|glaub.{0,2}|nehm.{0,2}|nimmt)\snicht(\san)?",glaubt nicht,,,,,tycker inte,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,8,,,,
not to be,,nicht sein,,,,,,,,inte vara,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,backward,1,1,,,,,,,,53
rather than,,eher,,eher\s.*?\bals\b,,,,,,snarare än,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,19
sufficient to rule her out,,"ausreichend, um sie davon auszuschließen",,"(ausreichend|hinreichend|genügend)(\s.*?)?,(\s)?um\s(sie|ihn|es|den\sPatienten|die\sPatient(en|in|innen)?)\s((von|für|gegen|in\sBezug\sauf|bezüglich|hinsichtlich)\s.*?)?(auszuschließen|nicht\sin\sBetracht\szu\sziehen|nicht\szu\sberücksichtigen|unberücksichtigt\szu\slassen)","hinreichend, um sie nicht zu berücksichtigen","ausreichend, um sie nicht in Betracht zu ziehen",,,,tillräckligt för att utesluta henne,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,discontinuous,1,,,,,,,,,63
sufficient to rule her out against,,,,,,,,,,tillräckligt för att utesluta henne mot,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,8
sufficient to rule her out for,"r""""""sufficient\sto\srule\s(her|him)\sout\sfor""""""",,,,,,,,,tillräckligt för att utesluta henne för,tillräckligt för att utesluta henne mot,,,,,,,,,,,,tillräckligt\sför\satt\sutesluta\s(henne|honom)\sför,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,70
sufficient to rule him out,,,,,,,,,,tillräckligt för att utesluta honom,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,27
sufficient to rule him out against,"r""""""sufficient\sto\srule\s(him|her)\sout\sagainst""""""",,,,,,,,,tillräckligt för att utesluta honom,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",tillräckligt\sför\satt\sutesluta\s(henne|honom),,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,11
sufficient to rule him out for,,,,,,,,,,tillräckligt för att utesluta honom,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,34
sufficient to rule out,,,,,,,,,,tillräckligt för att utesluta,,,,,,,,,,,,,,suffisant pour éliminer,suffisant pour écarter,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,48
sufficient to rule out against,,,,,,,,,,tillräckligt för att utesluta,,,,,,,,,,,,preposition,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,72
sufficient to rule out for,,,,,,,,,,tillräckligt för att utesluta för,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,73
sufficient to rule the patient out,,,,,,,,,,tillräckligt för att utesluta patienten,tillräckligt för att utesluta patienten mot,,,,,,,,,,,"compound / swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,61
sufficient to rule the patient out against,,,,,,,,,,tillräckligt för att utesluta patienten mot,,,,,,,,,,,,compound,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,71
sufficient to rule the patient out for,,,,,,,,,,tillräckligt för att utesluta patienten för,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,47
test for,,Test auf,,(Test(s)?|Untersuchung(en)?)\s(gegen|für|auf|zum|zu|zur),Untersuchung auf,,,,,test för,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,74
to exclude,,um es auszuschließen,,(um\s.*?\s(nicht\sin\sBetracht\szu\sziehen|um\sauszuschließen|nicht\szu\sberücksichtigen|unberücksichtigt\szu\slassen),,,,,,att utesluta,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,discontinuous,1,1,,,,,,,,46
unable to adequately assess,,"nicht fähig, dies angemessen zu beurteilen",,"(nicht(\sdazu)?\sin\sder\sLage|nicht(\sdazu)?\s fähig),(\s\s.*?)(\szu)?\s(beurteilen|prüfen|analysieren|untersuchen|angemessen|adäquat|sachlich|hinreichend|zufriedenstellend)(\szu)?","nicht in der Lage, dies angemessen zu beurteilen",,,,,oförmögen att korrekt bedöma,kan inte bedöma adekvat,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,discontinuous,,,1,,,,,,,
unable to assess,,,,,"nicht in der Lage, dies zu beurteilen",,,,,kan inte bedöma,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,,,,1,,,,,,,
unlikely,,unwahrscheinlich,,,nicht wahrscheinlich,,,,,osannolikt,otroligt,,,,,,,,,,,,,peu probable,,,,,,probableNegatedExistence,,backward,backward,1,1,,,,,,,,54
unremarkable for,,nicht auffällig in Bezug auf,,,,,,,,ej anmärkningsvärd,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,49
very little that speaks for,,"sehr wenig, was für dies spricht",,"sehr\swenig,\swas\sfür\s.*?\bspricht\b)",,,,,,mycket lite som talar för,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,64,,,,
without indication of,,ohne Angabe von,,"ohne(\s(ein.{0,2}|d.{0,2}))?\s(Verdacht|Angabe(n)?|Anzeichen|Information(en)?|Hinweis(e)?|Indikation(en))\s(von|d.{0,2}|ein.{0,2}|auf|zu|über)",ohne Verdacht auf,ohne Informationen zu,ohne einen Hinweis auf,,,utan indikation av,utan indikation på,utan indikation för,,,,,,,,,,word sense,,sans indication de,sans indication d',,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,62
without sign of,,ohne ein Anzeichen von,,,ohne einen Hinweis auf,,,,,utan tecken på,,,,,,,,,,,,,,sans signe de,sans signe d',sans signe,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,31
by her husband,,von ihrem Mann,,von\s(ihrem|ihrer|seinem|seiner)\s(Mann|Ehemann|Gatte|Ehegatte|Frau|Ehefrau|Gattin|Ehegattin),von Ihrem Ehemann,,,,,av sin man,hennes man,sin man,,,,,,,,,,,,,,,,,,pseudoExperiencer,,forward,forward,,1,,,,,,,,
by his wife,,von seiner Frau,,,von seiner Ehefrau,,,,,av sin hustru,av sin fru,hans fru,,,,,,,,,,,,,,,,,,pseudoExperiencer,,forward,forward,,1,,,,,,,,
if negative,,falls negativ,,,wenn negativ,"im Fall, dass es negativ",,,,om negativ,,,,,,,,,,,,,,,,,,,,pseudoFuture,,forward,forward,,1,,,,,,,,
know if,,"wissen, ob",,,,,,,,vet om,,,,,,,,,,,,,,,,,,,,pseudoFuture,,forward,forward,,1,,,,,,,,
clinical history,,Krankengeschichte,,,Anamnese,,,,,anamnes,,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
day history of,,tägliches Krankheitsbild von,,täglich(e|es)\s(Anamnese|Krankheits(bild|geschichte)\s(des|der|von|dieser|dieses)),tägliche Anamnese von,,,,,dagars anamnes av,,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
detailed history,,ausführliche Krankheitsgeschichte,,"(ausführlich.{0,2}|detailliert.{0,2})\s(Krankheitsgeschicht.{0,2})|Anamnes.{0,2}))",detaillierte Krankheitsgeschichte,,,,,detaljerad historik,detaljerad anamnes,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
history and,,Krankengeschichte und,,,Anamnese und,Geschichte und,,,,historia och,anamnes och,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
history and examination,,Krankengeschichte und Untersuchung,,,Anamnese und Untersuchung,Geschichte und Untersuchung,,,,historia och undersökning,anamnes och undersökning,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
history and physical,,Krankengeschichte und ärztliche Untersuchung,,,Anamnese und ärztliche Untersuchung,Geschichte und ärztliche Untersuchung,,,,historia och fysiska,anamnes och fysiska,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
history from,,Krankengeschichte von,,(Geschichte|Krankengeschichte|Anamnese)\s(der|des|dieser|dieses|von),Anamnese von,,,,,historia från,anamnes från,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
history of chief complaint,,Krankengeschichte der Hauptbeschwerden,,(Geschichte|Krankengeschichte|Anamnese\s(der\smeisten\sBeschwerden|der\sHauptbeschwerden)),,,,,,historia av huvudsakliga klagomål,anamnes med huvudsakliga klagomål,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
history of present illness,,Krankengeschichte der aktuellen Krankheit,,(Geschichte|Krankengeschichte|Anamnese)\sder\s(aktuellen|gegenwärtigen|jetzigen|untersuchten)\sKrankheit,,Geschichte der aktuellen Krankheit,,,,historia av nuvarande sjukdom,nuvarande sjukdomar,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
history taking,,aufgenomme Krankengeschichte,,aufgenommene\s(Krankengeschichte|Anamnese|Geschichte),aufgenomme Anamnese,aufgenomme Geschichte,,,,anamnestagande,,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
"history, and",,"Krankengeschichte, und",,"(Krankengeschichte|Anamnese|Geschichte),(\s)?und","Anamnese, und","Geschichte, und",,,,historia och,anamnes och,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
"history, physical",,"Geschichte, ärztliche Untersuchung",,"(Krankengeschichte|Anamnese|Geschichte),(\s)?ärztliche\sUntersuchung",,"Krankengeschichte, ärztliche\ Untersuchung","Anamnese, ärztliche Untersuchung",,,"historia, fysisk","anamnes, fysisk",,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
patient history,,Patientengeschichte,,,Krankheitsgschichte des Patienten,Krankheitsgschichte der Patientin,Geschichte des Patienten,Anamnese der Patientin,,anamnes,,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
poor history,,lückenhafte Krankengeschichte,,(lückenhafte|mangelhafte|unzureichende)\s(Anamnese|Krankengeschichte|Geschichte),lückenhafte Anamnese,mangelhafte Krankheitsgeschichte,mangelhafte Berichte,,,dålig anamnes,tunn anamnes,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
social history,,sozialer Hintergrund,,(soziale(r|en|es)\s(Hintergrund|Geschichte|Umstände|Bedingungen|Milieu),soziale Umstände,soziale Geschichte,sozialen Bedingungen,soziales Milieu,,social historia,social anamnes,,,,,,,,,,,,,,,,,,,pseudoHistorical,,forward,forward,,1,,,,,,,,
gram negative,,gramnegativ,,"\b(gram(-)?negativ.{0,2}\b",gramnegative,,,,,gramnegativ,,,,,,,,,,,,,,,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,148
no change,,keine Änderung,,"kein.{0,2}(\s(definitive{0,1}|eindeutige.{0,1}))?\s(Veränderung(en)?|Änderung(en)?)",keine Veränderung,,,,,ingen förändring,,,,,,,,,,,,,,pas de changement,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,149
no definite change,,keine eindeutige Änderung,,,keine eindeutige Veränderung,,,,,ingen bestämd förändring,,,,,,,,,,,,,,,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,137
no increase,,keine Zunahme,,"kein.{0,2}\s(Zunahme|Anstieg|Erhöhung)",keine Erhöhung,keine Steigerung,kein Anstieg,,,ingen ökning,,,,,,,,,,,,,,pas d'augmentation,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,145
no significant change,,keine Auffälligkeit,,"(keine\sAuffälligkeit)|kein.{0,2}\s(signifikant.{0,2}|deutlich.{0,2}|wesentlich.{0,2}|maßgeblich.{0,2})\s(Änderung.{0,2}|Veränderung.{0,2})",keine signifikante Änderung,keine deutliche Veränderung,keine signifikante Veränderung,,,ingen signifikant förändring,,,,,,,,,,,,,,pas de changement significatif,pas de changement net,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,143
no significant interval change,,kein deutlicher Intervallwechsel,,"kein.{0,2}\s(signifikant.{0,2}|deutlich.{0,2}|wesentlich.{0,2})|maßgeblich.{0,2})\sIntervallwechsel",kein signifikanter Intervallwechsel,,,,,ingen signifikant intervallförändring,,,,,,,,,,,,,,,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,146
no suspicious change,,keine verdächtige Veränderung,,"kein.{0,2}(\s.*?)?\s(Auffälligkeit(en)?|Änderung(en)?|Veränderung(en)?)",keine Auffälligkeiten,,,,,ingen misstänkt förändring,,,,,,,,,,,,,,,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,144
not cause,,keine Ursache,,"(nicht|keine)\s(verursacht|ausgelöst|(ein.{0,2}\s)?Ursache(en)?\sfür|(von|durch|mittels|auf\sGrund|aufgrund)\s.*?\b(verursacht|ausgelöst))",,,,,,inte orsaka,,,,,,,,,,,,,,,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,138
not drain,,keinen Abfluss,,"(fließt\snicht\sab|nicht\sabfließen|kein.{0,2}\sAbfluss)",,,,,,inte dränera,,,,,,,,,,,,,,,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,147
not extend,,verlängert sich nicht,,"(nicht\s(verlängert|ausgedehnt)|kein.{0,2}\sVerlängerung)",,,,,,inte utvidga,,,,,,,,,,,,,,,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,140
not necessarily,,nicht notwendigerweise,,,nicht unbedingt,nicht zwangsläufig,,,,inte nödvändigtvis,,,,,,,,,,,,,,pas nécessairement,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,141
not only,,nicht nur,,,nicht ausschließlich,,,,,inte bara,,,,,,,,,,,,,,pas seulement,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,136
positive study for,"r""positive (study|exam|examination)( for)""",positives Ergebnis für,,"positiv.{0,2}\s(Studie|Diagnose|Analyse|Untersuchung)\s(von|für|in\sBezug|auf|bezüglich|hinsichtlich)",positive Diagnose für,,,,,# positiv studie för,,,,,,,,,,,,,positiv(studie|examination|undersökning)(för),,,,,,,pseudoNegation,,forward,forward,1,,,,,,,,,152
without difficulty,,ohne Schwierigkeit,,"ohne\s(Schwierigkeit.{0,2}|Problem.{0,2}|problemlos.{0,2})",problemlos,ohne Probleme,,,,utan svårighet,,,,,,,,,,,,,,sans difficulté,,,,,,pseudoNegation,,forward,forward,1,1,,,,,,,,139
difficult to assess,,schwer nachzuweisen,,(schwierig|schwer)(s\zu)(\s.*?\s)(beurteilen|prüfen|zu\süberprüfen),schwer zu prüfen,schwer zu beurteilen,,,,svårbedömt huruvida,,,,,,,,,,,,,,,,,,,,uncertain,,forward,discontinuous,,,,,,50,,,,
either,,entweder,,,,,,,,någondera,antingen,,,,,,,,,,,,,,,,,,,uncertain,,forward,forward,,,,1,1,,,,,
equivocal,,ambig,,\b(ambig|zweideutig|doppeldeutig)\b,doppeldeutig,zweideutig,,,,tvetydig,,,,,,,,,,,,,,,,,,,,uncertain,,bidirectional,bidirectional,1,,,,,,,,,321
uncertain,,unsicher,,,vage,,,,,tveksam,inte säker,oviss,,,,,,,,,,,,,,,,,,uncertain,,forward,forward,,,,1,1,,,,,
versus,,versus,,(versus|vs.|vs|gegenüber),vs.,gegenüber,,,,versus,antingen,,,,,,,,,,,not an uncertainty marker,versus|\bvs\b|antingen,,,,,,,uncertain,,bidirectional,bidirectional,1,,,,,,,,,319
although,,obwohl,,,wenngleich,obgleich,wenn auch,,,även om,,,,,,,,,,,,word sens,,,,,,,,,but_group,terminate,terminate,1,1,1,,,,,,,254
apart from,,unabhängig davon,,(außer|unabhängig\s(davon|von)|mit\sAusnahme\s(davon|von)),außer dass,mit Ausnahme von,,,,bortsett från,,,,,,,,,,,,,,,,,,,,,but_group,terminate,terminate,1,1,1,,,,,,,289
as a cause for,,als Ursache für,,als\s(Ursache|Grund|Quelle|Ätiologie|Ausgangspunkt|Krankheitsursache)\s(für|der|des|dieser|dieses|von),,,,,,som en orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,251
as a cause of,,als Ursache von,,,,,,,,som en orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,225
as a reason for,,als Grund für,,,,,,,,som skäl för,som orsak till,som anledning för,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,279
as a reason of,,als Grund von,,,,,,,,som en följd av,som en orsak till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,266
as a secondary cause for,,als zweite Ursache für,,,als Nebeneffekt für,,,,,som en sekundär orsak for,som en sekundär källa till,,,,,,,,,,,oldfashioned,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,212
as a secondary cause of,,als zweite Ursache von,,,als Nebeneffekt von,,,,,som en sekundär orsak,som en sekundär orsak till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,233
as a secondary etiology for,,als zweite Krankheitsursache für,,,,,,,,som en sekundär etiologi,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,273
as a secondary etiology of,,als zweite Krankheitsursache von,,,,,,,,som en sekundär etiologi,som en sekundär etiologi till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,300
as a secondary origin for,,als zweiter Ausgangspunkt für,,,,,,,,som sekundärt ursprung för,som en sekundär källa till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,230
as a secondary origin of,,als zweiter Ausgangspunkt von,,,,,,,,som ett sekundärt ursprung,som en sekundär källa till,,,,,,,,,,,inflection,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,242
as a secondary reason for,,als zweiter Grund für,,,,,,,,såsom en sekundär orsak till,som en sekundär orsak till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,297
as a secondary reason of,,als zweiter Grund von,,,,,,,,som en sekundär följd av,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,259
as a secondary source for,,als zweiter Anlass für,,,,,,,,som en sekundär orsak till,,,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,288
as a secondary source of,,als zweiter Anlass von,,,,,,,,som en sekundär orsak till,,,,,,,,,,,,oldfashioned + prep,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,214
as a source for,,als eine Quelle für,,,,,,,,som en källa för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,240
as a source of,,als eine Quelle von,,,,,,,,som en källa till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,226
as an cause for,,als eine Ursache für,,,,,,,,som en orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,257
as an cause of,,als eine Ursache von,,,,,,,,som en orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,264
as an etiology for,,als eine Krankheitsursache für,,,,,,,,som en etiologi för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,229
as an etiology for,,als eine Ätiologie für,,,,,,,,som en etiologi för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,245
as an etiology of,,als eine Krankheitsursache von,,,,,,,,som en etiologi,som en etiologi av,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,269
as an etiology of,,als eine Ätiologie von,,,,,,,,som en etiologi,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,215
as an origin for,,als ein Ausgangspunkt für,,,,,,,,som ett ursprung för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,241
as an origin of,,als ein Ausgangspunkt von,,,,,,,,som ett ursprung för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,293
as an reason for,,als ein Grund für,,,,,,,,som en orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,228
as an reason of,,als ein Grund von,,,,,,,,som en följd av,som en orsak till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,249
as an secondary cause for,,als eine zweite Ursache für,,,als Nebeneffekt für,,,,,som en sekundär källa till,som en sekundär orsak till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,265
as an secondary cause of,,als eine zweite Ursache von,,als\s(eine|die)?\s(Nebenursache|Nebenursachen|Nebengrund|Nebengründe)\s(für|d(er|es|ieser|ieses)|von),als Nebeneffekt von ,,,,,som en sekundär orsak,som en sekundär orsak till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,280
as an secondary etiology for,,als eine zweite Krankheitsursache für,,,,,,,,som en sekundär etiologi för,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,298
as an secondary etiology of,,als eine zweite Krankheitsursache von,,,,,,,,som en sekundär etiologi,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,262
as an secondary origin for,,als ein zweiter Ausgangspunkt für,,,,,,,,som sekundärt ursprung för,som en sekundär källa till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,291
as an secondary origin of,,als ein zweiter Ausgangspunkt von,,,,,,,,som ett sekundärt ursprung,som en sekundär orsak till,,,,,,,,,,,inflection,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,301
as an secondary reason for,,als ein zweiter Grund für,,,,,,,,som en sekundär orsak till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,218
as an secondary reason of,,als ein zweiter Grund von,,,,,,,,som en sekundär följd av,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,219
as an secondary source for,,als eine zweite Quelle für,,,,,,,,som sekundärt upphov till,,,,,,,,,,,,word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,294
as an secondary source of,,als eine zweite Quelle von,,,,,,,,som en sekundär källa till,,,,,,,,,,,,prep,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,255
as an source for,,als eine Quelle für,,,,,,,,som ett upphov till,,,,,,,,,,,,alternate word sens,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,261
as an source of,,als eine Quelle von,,,,,,,,som en källa till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,256
as the cause for,,als die Ursache für,,als\sd(ie|er)\s(Ursache|Grund|Krankheitsursache|Ätiologie|Quelle|Ausgangspunkt|Anlass)\s(für|d(er|es|ieser|ieses)|von),,,,,,som orsaken till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,282
as the cause of,,als die Ursache von,,,,,,,,som orsak till,som orsaken till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,299
as the etiology for,,als die Krankheitsursache für,,,,,,,,såsom etiologin för,som etiologin för,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,243
as the etiology of,,als die Krankheitsursache von,,,,,,,,såsom etiologi,som etiologin av,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,260
as the origin for,,als der Ausgangspunkt für,,,,,,,,som ursprung för,som ursprung till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,274
as the origin of,,als der Ausgangspunkt von,,,,,,,,som ursprung för,som ursprung till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,235
as the reason for,,als der Grund für,,,,,,,,som orsaken till,,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,275
as the reason of,,als der Grund von,,,,,,,,som följd av,som orsaken till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,277
as the secondary cause for,,als die zweite Ursache für,,,als Nebeneffekt für ,,,,,som sekundär orsak för,som den sekundära orsaken till,,,,,,,,,,,,,,,,,,,,secondaryTo_group,terminate,terminate,1,1,,,,,,,,239
